Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24/03/2016,19610,,19546,20416,19465,19611,18167,19885,20069,19724,19609
25/03/2016,19738,,19776,20598,19625,19772,18303,20006,20061,19762,19803
26/03/2016,19895,,20007,20809,19784,19995,18489,20111,20149,19812,20080
27/03/2016,20038,,20263,21027,19936,20182,18655,20232,20208,19799,20359
28/03/2016,20122,,20524,21140,20055,20271,18741,20304,20164,19779,20535
29/03/2016,20209,,20776,21110,20222,20364,18816,20441,20055,19887,20628
30/03/2016,20302,,21009,21109,20390,20463,18949,20588,20008,19898,20648
31/03/2016,20384,,21075,21128,20572,20597,19113,20646,20038,19903,20648
01/04/2016,20422,,21025,21136,20745,20641,19255,20627,20081,19864,
02/04/2016,20462,,20917,21175,20863,20686,19466,20674,20041,19872,
03/04/2016,20527,,20812,21278,20963,20796,19715,20777,20007,19868,
04/04/2016,20597,,20754,21415,21004,20941,19929,20788,20093,19852,
05/04/2016,20679,,20708,21555,21100,21052,20030,20862,20268,19853,
06/04/2016,20768,,20736,21728,21171,21113,20075,20970,20415,19932,
07/04/2016,20871,,20823,21954,21158,21200,20174,21125,20497,20034,
08/04/2016,20984,,20991,22126,21167,21274,20322,21273,20557,20161,
09/04/2016,21079,,21176,22279,21189,21317,20436,21353,20577,20305,
10/04/2016,21163,,21226,22414,21312,21379,20541,21427,20609,20396,
11/04/2016,21229,,21253,22414,21483,21419,20633,21456,20698,20472,
12/04/2016,21284,,21285,22349,21618,21457,20675,21508,20799,20582,
13/04/2016,21344,,21352,22333,21671,21466,20699,21627,20934,20671,
14/04/2016,21401,,21445,22340,21650,21475,20690,21763,21080,20767,
15/04/2016,21427,,21527,22370,21607,21454,20657,21784,21167,20850,
16/04/2016,21424,,21577,22339,21554,21506,20676,21758,21157,20826,
17/04/2016,21401,,21599,22204,21540,21550,20720,21761,21148,20689,
18/04/2016,21374,,21634,22115,21419,21579,20748,21799,21157,20538,
19/04/2016,21371,,21688,22056,21314,21554,20812,21859,21165,20517,
20/04/2016,21419,,21808,22089,21306,21500,20846,21939,21267,20594,
21/04/2016,21456,,21903,22120,21301,21422,20855,22029,21321,20695,
22/04/2016,21462,,21854,22095,21255,21383,20890,22066,21370,20778,
23/04/2016,21447,,21726,22162,21152,21360,20966,22087,21314,20809,
24/04/2016,21427,,21659,22254,21022,21366,21054,22066,21232,20767,
25/04/2016,21425,,21611,22367,20920,21381,21081,22088,21235,20713,
26/04/2016,21421,,21574,22522,20857,21306,21107,22129,21261,20609,
27/04/2016,21417,,21532,22642,20904,21184,21140,22185,21313,20436,
28/04/2016,21437,,21523,22698,21041,21170,21129,22257,21328,20348,
29/04/2016,21457,,21553,22683,21189,21159,21120,22299,21320,20328,
30/04/2016,21411,,21453,22627,21348,21083,21152,22166,21192,20271,
01/05/2016,21354,,21282,22539,21511,20949,21167,22069,21023,20294,
02/05/2016,21325,,21167,22413,21702,20856,21252,21959,20910,20341,
03/05/2016,21289,,21123,22264,21812,20770,21274,21896,20863,20307,
04/05/2016,21274,,21083,22212,21791,20729,21335,21895,20808,20336,
05/05/2016,21251,,21055,22266,21640,20674,21385,21857,20733,20399,
06/05/2016,21238,,21124,22296,21436,20653,21425,21824,20680,20469,
07/05/2016,21226,,21268,22243,21257,20641,21452,21755,20709,20483,
08/05/2016,21196,,21351,22153,21105,20591,21421,21695,20763,20491,
09/05/2016,21155,,21364,22002,20965,20557,21428,21726,20775,20422,
10/05/2016,21101,,21319,21935,20801,20493,21437,21679,20783,20366,
11/05/2016,21040,,21337,21881,20678,20352,21454,21556,20759,20301,
12/05/2016,20943,,21366,21823,20614,20152,21411,21387,20655,20140,
13/05/2016,20830,,21247,21783,20588,20030,21300,21197,20533,19963,
14/05/2016,20725,,21189,21713,20524,19957,21164,21048,20441,19768,
15/05/2016,20596,,20991,21610,20532,19845,20945,20909,20316,19622,
16/05/2016,20480,,20899,21497,20536,19708,20715,20820,20192,19473,
17/05/2016,20350,,20772,21334,20466,19596,20529,20691,20032,19377,
18/05/2016,20244,,20659,21199,20422,19495,20423,20564,19863,19327,
19/05/2016,20133,,20519,21109,20352,19383,20342,20445,19718,19197,
20/05/2016,20020,,20407,21022,20316,19278,20242,20294,19611,18993,
21/05/2016,19926,,20293,21003,20262,19170,20151,20185,19523,18825,
22/05/2016,19825,,20152,21069,20163,19045,20039,20059,19442,18628,
23/05/2016,19706,,20006,21030,20113,18832,19906,19977,19345,18437,
24/05/2016,19587,,19952,20966,19971,18667,19818,19883,19189,18249,
25/05/2016,19473,,19928,20854,19826,18557,19695,19752,19118,18053,
26/05/2016,19370,,19816,20787,19736,18435,19554,19636,19079,17917,
27/05/2016,19268,,19729,20674,19660,18298,19372,19532,19081,17796,
28/05/2016,19159,,19632,20610,19581,18196,19171,19412,19028,17645,
29/05/2016,19061,,19597,20523,19475,18165,18945,19311,18943,17528,
30/05/2016,18961,,19540,20417,19292,18114,18749,19199,18864,17513,
31/05/2016,18875,,19493,20188,19197,18080,18554,19123,18801,17564,
01/06/2016,18800,,19476,19913,19178,17996,18433,18970,18743,17690,
02/06/2016,18749,,19422,19600,19195,17943,18381,18972,18692,17789,
03/06/2016,18672,,19292,19334,19111,17898,18305,18870,18705,17862,
04/06/2016,18606,,19224,19146,19095,17840,18261,18747,18612,17922,
05/06/2016,18521,,19096,18954,19069,17627,18217,18681,18559,17968,
06/06/2016,18447,,18916,18867,19052,17470,18126,18557,18535,18053,
07/06/2016,18343,,18692,18769,18931,17282,18007,18401,18522,18137,
08/06/2016,18248,,18517,18662,18844,17111,17910,18333,18518,18091,
