c18b,2020364,-64.2797,99.5001
c19b,2006303,-64.2873,99.3069
c05,1989323,-64.3,98.1
c24,2006086,-64.3215,95.989
b15h,2003131,-64.4,100.3
c31,2018276,-64.4166,96.3194
c21b,2018038,-64.4476,95.6029
c30,2018299,-64.4796,96.1774
d03,1979105,-64.6,78.2
a54b,2006211,-64.645,-56.425
b15s,2009290,-64.6547,131.5768
c32,2018314,-64.6768,134.0475
c27,2010024,-64.68,96.73
c11,2000338,-64.6903,97.0044
c12,1997061,-64.7,97.1
b15m,2007196,-64.73,133.87
c33,2020129,-64.75,134.25
b40,2016197,-64.8,135.5167
a69b,2022115,-64.8095,-57.0251
a32b,1995148,-64.9,-57.7
e09,1995229,-64.9822,-57.056
a32,1995141,-65,-57.7
c38b,2022105,-65,101.7
d05,1979350,-65,130.1
c21,2003068,-65,95.8
e17,1999286,-65.1284,149.9079
e07,1994358,-65.1692,54.3878
c38a,2022105,-65.17,101.66
c38,2022081,-65.1977,101.7221
c01,1982339,-65.2,111.6
a38g,2002017,-65.2133,-55.7533
e06,1992229,-65.2669,51.4139
e08,1995232,-65.268,54.0746
b30b,2019169,-65.2709,-131.3068
d28,2020366,-65.28,54.03
a20,1986208,-65.3,-57.5
c14a,2011254,-65.34,125.3815
b30a,2019166,-65.365,-131.7918
d12,1997138,-65.3666,54.1988
a35,1995168,-65.3784,53.4592
e04,1992136,-65.3863,137.3621
e19,1999241,-65.3936,152.3133
a39,2001001,-65.4,-59.4
a69c,2022115,-65.4416,-58.9507
a69a,2022112,-65.51,-59.24
d02,1978274,-65.5146,81.293
d27,2021169,-65.54,52.69
b15ab,2018300,-65.5638,51.1627
d13,1997040,-65.6,54.4
c28a2,2012274,-65.6548,123.8671
b50,2022115,-65.6554,-165.1571
b15v,2010045,-65.68,55.47
a70,2022106,-65.7066,-61.3206
d22,2019207,-65.7333,81.5667
b34,2017082,-65.7342,174.7289
c21c,2005212,-65.82,84.47
e16,1999292,-65.839,170.3635
d07,1983037,-65.9,87.8
a64,2022115,-65.9474,-60.3218
c15,2022091,-65.95,143.27
c28,2010087,-66,142.92
d01,1976362,-66,62.4
c29,2017120,-66.0433,143.0794
e21,1997079,-66.0981,60.9709
a15,1981214,-66.1,-53.8
d15,2014317,-66.1054,81.6354
d24,2016016,-66.1395,57.8078
b09b,2022091,-66.2,143.44
d21,2013305,-66.2,85.7667
a35a,2000246,-66.2272,-55.8756
d25,2016148,-66.25,35.85
e13,1996328,-66.286,-121.1888
b14a,2001091,-66.3,178.8
d15a,2018280,-66.3363,81.8964
d15b,2018318,-66.397,81.8256
a43d,2004074,-66.4,-58.6
a35b,2000233,-66.4,-55.4
b09e,2011170,-66.48,142.96
c19e,2004070,-66.5378,148.9906
e11,1993277,-66.5718,-161.4889
a12,1980202,-66.6,-60.2
c18,2003327,-66.7,152.1
a41,2000317,-66.7,-59.6
a21,1986299,-66.7,-59.5
e12,1993211,-66.8047,-179.6948
d08,1995099,-66.9,47.2
a07,1979315,-67,-60
a43h,2001301,-67.1,-55.5
b10b,1997288,-67.1128,167.652
e05,1992043,-67.2,79.47
a53,2005009,-67.22,-60.53
c35,2021281,-67.25,147.93
b07b,1992019,-67.3,-171.8
a19,1984162,-67.3,-58.7
c14,2003026,-67.3,147.4
a45,2001273,-67.4,-54.7
c03,1983023,-67.4,147.6
e02,1992345,-67.4298,-148.132
b43,2020247,-67.5315,165.2879
a76a,2022115,-67.5713,-55.7658
a35c,2000233,-67.6,-58.1
a51,2002300,-67.6,-60.9
c14b,2002130,-67.6,147.2
b35,2017351,-67.686,-96.2366
e18,1999352,-67.7458,-166.9288
a68,2017225,-67.747,-60.691
d06,1980132,-67.8,78.7
d09,1995064,-67.8,70.1
c36,2021055,-67.8672,147.6758
c17,2002130,-67.966,153.6207
e03,1992331,-67.9944,-174.526
d20a,2021274,-68.16,34.11
a44,2001329,-68.2,-56.5
b41,2020355,-68.4421,-179.6248
d20b,2017150,-68.4496,35.7909
a36,1998280,-68.4949,-59.8941
a71,2021167,-68.5355,-59.9938
a73,2021064,-68.71,-59.99
a27,2011296,-68.77,-57.55
d29c,2021176,-68.86,15.34
d14,2012027,-68.8954,74.9432
b03,1983254,-68.9,-177.8
b13,1997349,-68.9306,-159.6535
a69,2020185,-68.95,-60.7
a76c,2022113,-68.9598,-60.0859
c19,2003201,-68.9947,160.8327
b18,2001007,-69,158.8
b15e,2001015,-69.0242,158.6148
d30a,2021183,-69.07,11.52
d29b,2021197,-69.1,13.67
d10,1996063,-69.1,75
d30b,2021197,-69.11,12.32
b42,2022115,-69.1444,-152.0029
d20,2013175,-69.16,36.39
a72,2021057,-69.16,-60.68
d29a,2021204,-69.2,13.54
d26,2018323,-69.2081,29.283
d23,2018323,-69.2099,74.3665
a37,1998214,-69.6,-60.8
d31,2022035,-69.66,0.74
a59,2010122,-69.73,-73.45
b22b,2005271,-69.9412,-166.288
a58,2008321,-70.05,-72.68
a78,2021337,-70.08,-6.46
c22,2005261,-70.12,167.52
a60,2010024,-70.27,-72.97
b12,1997279,-70.3183,-155.9425
a75,2021166,-70.3686,-60.2721
a11,1980139,-70.5,-44.3
c23,2005296,-70.6,171.18
a76b,2022115,-70.8163,-59.7382
a77,2021239,-70.99,-14.03
a79,2022109,-71.0232,-60.3975
b46,2021351,-71.19,-132.84
b09,1989211,-71.3,-170.9
b05,1983170,-71.3,-97.8
a57,2015365,-71.3181,-58.1499
b10,1995029,-71.4,-117.5
e01,1992076,-71.5829,-110.2764
b11,1995340,-71.6155,-120.0083
b07,1987172,-71.8,-113.3
b22c,2003124,-72,-113.8
b37,2022014,-72.0026,-115.5606
c25,2007030,-72.196,171.6656
a34,1996245,-72.2,-16.9
