d23,104232
d26,104138
b09b,11935
a23a,11114
c15,8095
b22a,7334
b16,7288
c18b,6761
c21b,6248
c24,6248
a27,6226
b15,5643
b17a,5296
c10,5219
b09a,5161
c08,5064
c16,5009
a22a,5004
b15b,4992
b15k,4727
b15f,4512
c14a,4488
b28,4471
b29,4471
b15g,4245
c02,4211
b15t,4116
b21a,3963
a43d,3932
d20a,3888
b09g,3638
b15r,3603
c19c,3581
c05,3512
a63,3302
b15i,3260
b15a,3246
b17b,3235
c09,3165
a56,3097
c28b,3048
b15d,3024
b15j,3005
a61,2955
a64,2934
a23b,2912
b09f,2842
b15ab,2786
a43f,2784
a57,2775
b01,2749
a22,2688
b06,2672
b30,2582
b09d,2544
d21b,2521
a22b,2414
b09i,2375
a43g,2362
c06,2346
c19d,2318
d15,2313
b38,2304
b39,2304
c29,2304
c30,2304
c31,2304
c32,2304
b40,2285
d15a,2274
d15b,2273
b37,2259
d22,2257
a38b,2228
b27,2217
b15n,2211
c33,2207
c19a,2150
c18a,2112
a38a,2107
b15aa,2016
a24,1987
a38c,1904
a23,1889
b31,1889
d11,1867
a34a,1853
b42,1843
a43a,1804
b15x,1750
a43e,1693
c07,1672
b09c,1659
b10a,1658
a38d,1652
b05,1630
a42,1621
b15l,1609
c11,1603
c12,1603
a35,1591
c28a,1588
d21a,1581
b41,1565
b14,1525
a43c,1516
d27,1516
d12,1497
c19b,1486
a43b,1377
b15z,1368
c28a2,1363
b45,1360
c35,1360
b10,1341
c34,1332
c14b,1330
a68a,1327
a57a,1312
b15y,1308
a22c,1295
b46,1274
a25,1252
b43,1245
c21a,1231
a43j,1205
c01,1189
a52,1179
c36,1178
a53a,1174
a28,1162
b08,1161
a68b,1096
c20,1092
b02,1084
c14,1071
a57b,1057
b15q,1036
b15s,1028
b19,1009
b22b,1000
d20b,991
a59,965
a29,953
b47,947
d28,944
a62,937
b09h,935
b15m,931
b15h,880
b35,867
a40,825
a39,798
b10b,785
a35a,777
a35b,777
b24,769
b34,763
a46,750
a43i,749
b50,741
c21,740
b23,739
a48,732
c17,723
d14,719
a35c,707
a41,701
b15c,699
b07b,697
a47,693
e05,673
d02,658
b09,657
a69a,654
a69b,653
b22c,651
c18,650
b21b,642
b07,636
a53b,616
b04,601
b07a,595
a20a,567
a60,566
a55,540
a20b,518
e20,517
a31,512
d03,511
b15p,504
a43k,496
e14,493
a70,472
a66,459
a02,455
c21c,455
c19,438
e16,430
e17,430
a74,421
a19,420
c26,385
d01,335
a76a,333
a76b,333
a76c,333
b32,319
d29a,318
d29b,318
d29c,318
e02,317
c25,316
d30a,316
d30b,316
a54,314
e04,314
b11,307
b13,297
a44,294
e01,293
a01,287
b15e,279
b18,279
b12,270
b17,255
a77,248
e07,247
c22,245
a78,241
c19e,241
b05a,238
b22e,238
e15,236
a68c,232
b03,224
b49,218
a20,203
a45,202
a32a,197
a21a,196
a26,196
a54a,196
c23,196
a40a,194
e11,191
e08,188
e09,188
c19c1,187
a16,182
a69c,178
b14b,168
a13,167
a36,164
d25,163
a67,161
a71,160
b15v,154
e19,152
e18,149
d21,147
a21,140
a62a,139
e06,138
a03,133
a15,133
a58,133
e03,131
a38e,126
b48,123
d13,122
b31a,121
d20,116
e13,113
a50,110
a43h,105
b30a,104
a32,101
e12,98
a37,91
a68,88
a75,87
b33,87
d31,85
b25,84
b21,77
d04,77
d24,73
a06,70
a12,70
a65,67
a68e,67
e10,64
b14a,63
a30,56
a38f,53
a79,52
a24a,49
a24b,49
a24c,49
a24d,49
c27,49
a68g,44
a68h,43
a73,43
b15ac,43
a08,42
a17,42
a68j,42
b22d,42
c13,42
c28,42
d10,42
a14,41
a68d,41
a68m,40
a69,38
a72,36
b15w,35
b36,35
c03,35
e21,35
c38a,31
c38b,31
a33,28
a34,28
a68i,28
b26,28
a49,25
b09j,25
b15j1,25
b44,24
a53,21
a68k,21
b15u,21
b30b,21
a68l,15
a11,14
a68n,14
a68p,14
a76,9
c38,9
a05,7
a54b,7
a68o,7
b09e,7
a68f,6
a38g,1
a04,0
a07,0
a09,0
a10,0
a27a,0
a32b,0
a38,0
a51,0
b20,0
c04,0
d05,0
d06,0
d07,0
d08,0
d09,0
