Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
22/02/2016,120.41,,126.63,125.67,125.46,116.61,118.13,119.43,127.14,123.52,119.96,121.6,121.63,107.74
23/02/2016,121.16,,126.81,127.36,126.17,116.62,119.11,120.06,128.3,124.37,121.55,121.46,121.67,109.28
24/02/2016,121.82,,126.93,128.71,126.51,116.4,119.89,120.59,129.43,124.92,122.04,122.61,121.18,111.28
25/02/2016,121.96,,127.73,128.89,127.34,116.66,120.11,120.55,129.07,124.44,121.48,123.82,120.26,112.47
26/02/2016,122.13,,128.31,129.91,127.63,117.8,119.09,120.87,128.38,125.04,120.4,123.7,119.64,113.13
27/02/2016,122.67,,128.29,130.72,129.5,117.92,121.72,121.21,129.14,125.61,119.19,124.13,119.69,114
28/02/2016,123.34,,128.31,131.68,132.41,118.16,121.68,120.95,130.31,126.77,118.22,124.46,120.36,116.05
29/02/2016,124.5,,128.63,131.51,132.58,118.01,121.59,121.18,130.44,128.11,118.21,124.78,120.65,118.25
01/03/2016,125,,128.94,131.35,132.76,119.99,121.51,121.4,130.58,129.25,118.2,125.18,120.9,119.94
02/03/2016,125.63,,129.02,130.69,133.62,122.77,122.47,122.22,130.41,129.81,118.48,126.3,121.74,119.97
03/03/2016,126.75,,129.19,130.86,134.85,125.43,124.75,123.37,131.54,131.58,119.13,127.89,123.05,119.37
04/03/2016,127.78,,130.09,131.91,134.74,127.58,126.24,125.19,131.65,133.26,119.94,129.2,124.37,119.23
05/03/2016,128.94,,130.98,131.86,135.86,128.15,128.01,127.31,132.75,135.3,121.22,130.71,125.14,119.95
06/03/2016,129.95,,131.45,132.72,136.56,128.38,129.34,129.2,133.64,137.76,121.6,131.69,126.05,120.96
07/03/2016,130.73,,131.21,134.97,136.93,128.26,130.53,130.89,135.07,139.11,121.98,131.83,125.85,122.18
08/03/2016,131.37,,130.59,136.33,137.19,128.74,131.33,131.99,136.1,140.4,122.32,131.48,126.5,123.41
09/03/2016,132.12,,131.07,137.25,137.05,130.2,132.39,132.98,137.1,141.48,122.11,131.91,126.91,124.97
10/03/2016,132.91,,131.23,138.46,137.19,131.81,132.3,133.6,138.13,141.65,122.15,133.46,128.09,126.81
11/03/2016,133.45,,132.37,138.81,136.77,132.52,130.37,134.68,138.22,141.8,123.54,134.53,129.75,127.98
12/03/2016,134.08,,133.1,139.37,137.53,133.05,128.8,135.84,138.56,141.67,125.19,134.38,131.84,129.61
13/03/2016,135.26,,133.26,140.34,139.11,133.63,130.47,137.39,139.97,141.11,127.17,135.31,134.18,131.18
14/03/2016,136.11,,133.8,141.6,140.26,134.79,131.23,138.78,142.13,140.3,127.92,134.77,135.06,132.73
15/03/2016,136.92,,133.76,142.71,140.58,135.26,133.04,139.61,144.13,140.43,128.81,134.73,135.55,134.42
16/03/2016,137.58,,133.57,142.95,140.16,136.13,135.54,140.87,145.75,140.93,129.83,134.08,135.89,135.31
17/03/2016,138.08,,133.44,143.72,139.95,136.71,137.16,142.15,146.44,141.93,130.35,132.79,136.18,136.08
18/03/2016,138.58,,133.44,144.55,139.83,137.38,138.07,143.61,146.18,141.75,130.88,133.46,137.02,136.79
19/03/2016,139.57,,134.34,145.97,140.78,138.33,138.1,145.4,147.67,141.67,132.65,134.21,137.91,137.76
20/03/2016,140.08,,135.3,146.69,142.04,139.57,137.03,146.43,147.21,141.26,134.34,135.02,137.62,138.42
21/03/2016,140.8,,136.89,147.12,142.4,140.76,137.33,146.39,147.06,141.73,135.88,136.93,137.87,139.21
22/03/2016,141.51,,138.09,148.19,142.09,141.94,137.91,146.88,147.49,141.55,137.23,138.42,138.4,139.87
23/03/2016,142.66,,139.15,148.89,143.1,143.07,137.79,147.92,148.49,144.79,139.55,139.19,139.16,140.82
24/03/2016,143.67,,140.46,149.68,143.94,144.62,138.1,148.78,149.22,146.75,141.36,139.66,139.82,141.68
25/03/2016,144.63,,141.83,151.28,145.01,146.6,138.35,149.5,149.84,148.18,142.51,140.16,140.66,141.69
26/03/2016,145.62,,143.31,153.04,146.2,148.44,140.09,149.6,150.12,148.19,144.3,140.53,142.03,141.61
27/03/2016,146.84,,145.34,154.78,147.75,149.71,141.19,150.48,150.51,148.17,146.69,141.86,142.72,142.85
28/03/2016,148.01,,147.55,156.86,149.39,151.44,141.34,150.83,151.4,147.69,149.22,143.37,143.13,143.86
29/03/2016,149.04,,149.33,157.04,150.29,152.07,141.65,151.99,152.2,148.01,151.6,144.47,144.64,145.15
30/03/2016,150.09,,150.88,156.31,152.16,153.49,142.47,153.69,152.81,147.63,152.52,146.74,146.29,146.1
31/03/2016,150.86,,151.3,156.66,153.45,155.09,143.16,154.38,153.49,147.55,151.9,148.39,148.47,146.47
01/04/2016,151.38,,150.72,156.85,155.04,154.93,144.38,154.63,154.42,147.6,151.69,149.59,150.23,146.52
02/04/2016,152.06,,150.08,157.18,156.62,154.97,145.69,155.77,155.11,147.73,151.73,150.42,151.88,147.56
03/04/2016,153,,150.48,157.49,157.63,155.72,146.82,157.52,155.53,148.98,153.3,151.38,153.19,147.98
04/04/2016,154.12,,150.74,158.19,158.25,157.34,150.17,158,156.69,149.52,154.14,152.35,154.92,149.09
05/04/2016,155.15,,150.88,159.88,159.24,156.52,151.58,158.14,158.64,150.38,155.12,153.51,156.37,151.58
06/04/2016,156.38,,150.91,161.4,160.36,159.4,151.76,159.45,160.48,150.38,156.7,154.16,158.1,153.5
07/04/2016,157.29,,151.4,163.3,160.97,160.76,152.29,160.64,160.94,151.63,158.53,154.19,158.62,154.23
08/04/2016,158.2,,152.64,164.86,160.4,161.8,153.65,162.1,160.94,153.26,159.77,155.45,159.32,154.19
09/04/2016,159.1,,153.27,166.13,160.57,163.32,155.11,162.85,160.73,154.95,160.68,157.54,159.97,154.11
10/04/2016,160.04,,154.06,168,161.11,163.96,156.37,162.97,161.1,156.19,160.5,160.04,160.8,155.34
11/04/2016,161.02,,154.35,168.76,162.07,163.88,157.55,163.78,162.84,157.64,160.79,163.27,161.28,156.07
12/04/2016,161.56,,155.3,169.04,163.05,163.4,158.83,164.48,163.62,158.78,160.21,164.13,161.96,155.93
13/04/2016,161.93,,156.7,168.39,163.33,163.67,158.99,165.73,164.88,159.37,158.08,163.76,163.42,156.85
14/04/2016,162.73,,158.49,168.63,163.93,164.28,159.12,167.36,166.39,160.25,156.96,164.27,164.51,158.51
15/04/2016,163.3,,159.79,169.16,163.68,163.96,158.77,168.21,167.47,161.98,156.14,164.68,165.44,160.33
16/04/2016,164.11,,160.88,170.28,163.52,165.22,159.54,168.91,167.71,162.44,156.21,165.92,167.12,161.54
17/04/2016,164.77,,161.81,170.48,163.58,166.18,160.17,169.84,168.54,161.97,156.08,167.82,168.15,162.59
18/04/2016,165.34,,162.67,170.47,162.73,168.12,160.54,170.65,168.78,161.02,157.22,169.81,168.9,163.15
19/04/2016,165.78,,163.18,169.82,162.27,168.41,161.21,171.6,169.49,160.67,157.8,171.74,169.34,163.78
20/04/2016,166.36,,163.96,170.01,161.88,168.47,162.5,172.86,170.78,162.11,158.12,172.3,169.62,163.74
21/04/2016,166.9,,164.84,170.69,161.7,168.56,163.49,173.89,171.02,162.66,158.7,173.99,170.15,163.11
22/04/2016,167.21,,164.89,170.75,161.67,169.51,164.41,174.8,171.4,163.71,159.35,174.36,169.02,162.66
