Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
02/04/1997,0.058,-0.406,-0.143,-0.464,-0.95,0.107,0.193,-2.542,-0.115,0.246,0.192
03/04/1997,0.061,-0.409,-0.058,-0.629,-0.831,0.111,0.182,-2.541,0.111,0.172,0.241
04/04/1997,0.064,-0.454,0.008,-0.651,-0.945,0.11,0.165,-1.919,0.257,0.167,0.137
05/04/1997,0.067,-0.48,-0.794,-0.567,-1.093,0.113,0.14,-1.02,-0.904,0.184,-1.434
06/04/1997,0.07,-0.521,-1.609,-0.56,-1.222,0.116,0.16,-0.342,-2.609,0.197,-2.44
07/04/1997,0.073,-0.544,-1.612,-0.635,-1.238,0.123,0.154,-0.498,-2.765,0.16,-2.232
08/04/1997,0.077,-0.598,-1.278,-0.64,-1.398,0.127,0.117,-0.933,-1.87,0.24,-1.971
09/04/1997,0.08,-0.599,-1.191,-0.544,-1.475,0.127,0.158,-1.521,-1.712,0.103,-1.714
10/04/1997,0.084,-0.662,-1.447,-0.643,-1.591,0.135,0.159,-0.606,-2.075,-0.006,-2.392
11/04/1997,0.087,-0.586,-2.636,-0.681,-1.342,0.139,0.157,-0.784,-4.779,-0.034,-3.281
12/04/1997,0.091,-0.725,-2.873,-0.866,-1.591,0.128,0.283,-1.044,-5.32,-0.088,-3.484
13/04/1997,0.095,-0.749,-2.144,-0.944,-1.614,0.139,0.322,-1.096,-4.445,-0.07,-2.091
14/04/1997,0.099,-0.799,-2.008,-0.919,-1.769,0.13,0.248,-1.158,-3.813,-0.008,-2.26
15/04/1997,0.102,-0.701,-1.642,-0.924,-1.49,0.141,0.239,-1.12,-2.66,-0.08,-2.305
16/04/1997,0.106,-0.676,-0.926,-0.904,-1.431,0.139,0.226,-0.489,-1.537,-0.037,-1.372
17/04/1997,0.108,-0.741,-1.006,-0.8,-1.696,0.132,0.285,-0.692,-1.562,-0.121,-1.581
18/04/1997,0.112,-0.777,-0.277,-0.9,-1.708,0.119,0.382,-0.886,0.248,-0.154,-1.179
19/04/1997,0.116,-0.931,-0.296,-1.161,-1.952,0.118,0.365,-1.759,0.629,-0.181,-1.389
