Date,Asia,East Siberia,Central Siberial,West Siberia,Mid-lat Asia,Tibet
13/05/1997,0.766,0.575,1.433,1.289,0.121,1.085
14/05/1997,0.687,0.498,1.236,1.235,0.093,1.03
15/05/1997,0.628,0.251,1.081,1.166,0.085,1.189
16/05/1997,0.586,0.145,1.029,1.128,0.067,1.165
17/05/1997,0.567,0.064,1.01,1.143,0.087,1.078
18/05/1997,0.497,-0.057,0.97,1.194,0.057,0.785
19/05/1997,0.404,-0.493,1.066,0.948,0.07,0.635
20/05/1997,0.328,-0.664,0.978,0.853,0.051,0.546
21/05/1997,0.321,-0.882,1.245,0.69,0.013,0.572
22/05/1997,0.299,-1.058,1.248,0.644,0.029,0.598
23/05/1997,0.295,-1.065,1.176,0.875,0.028,0.463
24/05/1997,0.343,-1.16,1.484,0.785,0.04,0.479
25/05/1997,0.301,-1.44,1.418,0.705,0.124,0.433
26/05/1997,0.165,-1.868,1.27,0.636,0.081,0.313
27/05/1997,0.126,-2.09,1.156,0.685,0.092,0.366
28/05/1997,0.043,-2.637,1.054,0.57,0.085,0.63
29/05/1997,-0.101,-3.001,0.705,0.546,0.097,0.512
30/05/1997,-0.169,-2.876,0.54,0.489,0.057,0.306
31/05/1997,-0.322,-3.761,0.44,0.437,0.03,0.407
01/06/1997,-0.343,-3.916,0.577,0.353,0.008,0.347
02/06/1997,-0.29,-3.72,0.837,0.335,0.012,0.124
03/06/1997,-0.344,-3.96,0.686,0.296,-0.001,0.294
04/06/1997,-0.436,-4.35,0.597,0.398,-0.012,0.102
05/06/1997,-0.482,-3.952,0.35,0.323,-0.047,-0.09
06/06/1997,-0.466,-3.796,0.347,0.231,-0.032,-0.08
07/06/1997,-0.486,-3.712,0.248,0.294,-0.061,-0.144
08/06/1997,-0.606,-4.045,0.085,0.018,-0.07,-0.108
09/06/1997,-0.482,-2.963,-0.013,-0.01,-0.07,-0.167
10/06/1997,-0.442,-2.53,-0.071,0.091,-0.098,-0.269
11/06/1997,-0.422,-1.925,-0.177,-0.102,-0.114,-0.358
12/06/1997,-0.449,-2.036,-0.253,-0.105,-0.115,-0.306
13/06/1997,-0.426,-2.266,-0.1,-0.199,-0.003,-0.338
14/06/1997,-0.377,-1.484,-0.282,-0.094,-0.053,-0.492
15/06/1997,-0.352,-1.394,-0.234,-0.043,-0.049,-0.542
16/06/1997,-0.021,-0.118,0.252,0.169,-0.058,-0.437
17/06/1997,-0.345,-1.474,0.087,-0.228,-0.066,-0.677
18/06/1997,-0.339,-1.396,0.021,-0.17,-0.05,-0.715
19/06/1997,-0.342,-1.129,-0.119,-0.256,-0.055,-0.698
20/06/1997,-0.376,-1.154,-0.233,-0.294,-0.055,-0.699
21/06/1997,-0.387,-1.186,-0.273,-0.296,-0.067,-0.652
22/06/1997,-0.438,-1.298,-0.315,-0.328,-0.077,-0.779
23/06/1997,-0.534,-1.27,-0.641,-0.505,-0.08,-0.809
24/06/1997,-0.576,-1.356,-0.713,-0.532,-0.093,-0.843
25/06/1997,-0.492,-1.154,-0.535,-0.299,-0.102,-0.94
26/06/1997,-0.47,-1.348,-0.124,-0.466,-0.105,-1.045
27/06/1997,-0.434,-1.133,-0.128,-0.358,-0.108,-1.102
28/06/1997,-0.509,-1.284,-0.231,-0.516,-0.114,-1.152
29/06/1997,-0.238,0.168,0.04,-0.431,-0.124,-1.198
30/06/1997,-0.229,0.148,0.002,-0.232,-0.128,-1.239
01/07/1997,-0.263,0.125,-0.053,-0.339,-0.13,-1.259
02/07/1997,-0.242,0.097,-0.066,-0.122,-0.132,-1.275
03/07/1997,-0.282,0.074,-0.158,-0.142,-0.138,-1.356
04/07/1997,-0.293,0.065,-0.187,-0.154,-0.14,-1.362
05/07/1997,-0.277,0.114,-0.164,-0.096,-0.139,-1.394
06/07/1997,-0.284,0.112,-0.175,-0.097,-0.139,-1.426
07/07/1997,-0.233,0.032,0.09,-0.022,-0.138,-1.463
08/07/1997,-0.19,0.06,0.115,0.063,-0.124,-1.342
09/07/1997,-0.196,0.06,0.113,0.056,-0.125,-1.376
10/07/1997,-0.21,0.033,0.1,0.05,-0.128,-1.411
11/07/1997,-0.234,-0.044,0.075,0.013,-0.13,-1.428
12/07/1997,-0.216,0.02,0.084,0.108,-0.13,-1.467
13/07/1997,-0.218,0.018,0.079,0.105,-0.131,-1.473
14/07/1997,-0.249,-0.032,0.048,0.011,-0.133,-1.492
15/07/1997,-0.246,0.009,0.048,0.007,-0.136,-1.503
16/07/1997,-0.241,-0.015,0.047,0.111,-0.136,-1.547
17/07/1997,-0.219,0.044,0.066,0.196,-0.136,-1.56
18/07/1997,-0.246,-0.018,0.037,0.107,-0.135,-1.558
19/07/1997,-0.157,-0.024,0.032,0.101,-0.045,-1.134
20/07/1997,-0.132,0.026,0.065,0.184,-0.045,-1.145
21/07/1997,-0.168,-0.037,0.033,0.093,-0.047,-1.185
22/07/1997,-0.142,0.033,0.054,0.169,-0.047,-1.184
